Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: On Dodge,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: End Turn,Script: On any equipment use,Script: Before execute,Script: On Snap,Script: On Fury,Script: On any countdown reduce
Trinity Charm,Roll a 3[;] 33% chance|to roll another 3,1,var odds = 33.33; if(getstatusself(~luck~) > 0){ odds = 66.66; } if(getstatusself(~luck+~) > 0){ odds = 100; }   if(chance(odds)) { self.textparticle(~Success!~); givedice([3|3]); } else{ givedice(3); },Trinity,MIN4,,YELLOW,change_power,change_power,,,0,YES,NO,,1,,,,,,,,,,,
Trinity Charm_upgraded,Roll a 3[;] 33% chance|to roll another 3,1,var odds = 33.33; if(getstatusself(~luck~) > 0){ odds = 66.66; } if(getstatusself(~luck+~) > 0){ odds = 100; }   if(chance(odds)) { self.textparticle(~Success!~); givedice([3|3]); } else{ givedice(3); },Trinity,COUNTDOWN,4,YELLOW,,,,,0,YES,NO,,,,,,,,,,,,,
Trinity Charm_downgraded,Roll a 3,1,givedice(3); /*tc has gone through a million and one iterations. in its very first incarnation it was a 3-countdown 33% chance to roll a 3; 3 uses this turn but it kind of captured the very essence of why jackeea doesn't like chance items. same with when its chance was to roll three 3s. at some point the base was needs 3 and the upgrade made it min 3. the incarnation this was in before i wrote this note and redesigned it was the same as before; but min3 and the upgrade made it a countdown of 3. for the longest time i refused to touch tc because i didn't want it to involve any number that wasn't a 3. this incarnation involves a 4 (min; countdown) and a 2 (how many 3s you roll when the chance succeeds). oh well. (also: in its very first few stages; it was green. how bizarre is that?) (also also: if this were morefluff i would've just stuck with the first design and never rethought it. nah jk ilu jackeea)*/,Trinity,MIN4,,YELLOW,,,,,0,YES,NO,,,,,,,,,,,,,
Funk Blaster,Double [weaken]weaken|[gray](once per battle),1,inflict(WEAKEN| getstatus(WEAKEN)); /*this item was very specifically created for thief pu back when i thought of ncrmod as an extension onto existing episodes ala more fluff. that's why it's so out of place*/,Theremin,COUNTDOWN,18,ORANGE,change_power,change_power,,_weaken,0,NO,YES,,,,,,,,,,,,,
Funk Blaster_upgraded,Double [weaken]weaken|[gray](once per battle),1,inflict(WEAKEN| getstatus(WEAKEN));,Theremin,COUNTDOWN,12,ORANGE,,,,_weaken,0,NO,YES,,,,,,,,,,,,,
Funk Blaster_downgraded,Increase [weaken]weaken by 50%|[gray](once per battle),1,inflict(WEAKEN| getstatus(WEAKEN) * 0.5);,Theremin,COUNTDOWN,18,ORANGE,,,,_weaken,0,NO,YES,,,,,,,,,,,,,
Funk Blaster_weakened,Increase [weaken]weaken by 50%|[gray](once per battle),1,inflict(WEAKEN| getstatus(WEAKEN) * 0.5);,Theremin,COUNTDOWN,12,ORANGE,,,,_weaken,0,NO,YES,,,,,,,,,,,,,
FK 47,[sword]6[;] rob enemy after battle|[gray](unusable after turn 1),1,if(self.finderskeepers == null) { self.finderskeepers = 0; } if(self.finderskeepers >= 0 && self.finderskeepers < 999) self.finderskeepers += 1; screenshake(); attack(6); sfx(~_thinghappens~);,Steal,NORMAL|NORMAL,8,GREEN,change_power,change_function,,_damage,0,NO,NO,excludefromrandomlists,,,,,if(turn > 1) {e.availablethisturn = false; e.unavailabledetails = [~This card is not available~|~after your first turn.~];},,,,,,,
FK 47_upgraded,[sword]6[;] rob enemy after battle|[gray](unusable after turn 2),1,if(self.finderskeepers == null) { self.finderskeepers = 0; } if(self.finderskeepers >= 0 && self.finderskeepers < 999) self.finderskeepers += 1; screenshake(); attack(6); sfx(~_thinghappens~);,Steal,NORMAL|NORMAL,8,GREEN,,,,_damage,0,NO,NO,excludefromrandomlists,,,,,if(turn > 2) {e.availablethisturn = false; e.unavailabledetails = [~This card is not available~|~after your second turn.~];},,,,,,,
FK 47_downgraded,Do [sword]6 damage|[gray](unusable after turn 1),1,attack(6);,Steal,NORMAL|NORMAL,8,GREEN,,,,_damage,0,NO,NO,excludefromrandomlists,,,,,if(turn > 1) {e.availablethisturn = false; e.unavailabledetails = [~This card is not available~|~after your first turn.~];},,,,,,,
FK 47_weakened,Do [sword]6 damage|[gray](unusable after turn 2),1,attack(6);,Steal,NORMAL|NORMAL,8,GREEN,,,,_damage,0,NO,NO,excludefromrandomlists,,,,,if(turn > 2) {e.availablethisturn = false; e.unavailabledetails = [~This card is not available~|~after your second turn.~];},,,,,,,
Switchblade@even,Do [sword]<d6> damage,1,attack(d); /*this predates megaquest's switchblade; or at least it was introduced early enough that switchblade hadn't had much association with mq yet. this is a very old mod that just didn't release for a long time*/,Neutron Star,EVEN,,RED,change_requirements,change_power,,_damage,0,NO,NO,,1,,,,var neweq = new elements.Equipment(~Switchblade@odd~); neweq.x = e.x; neweq.y = e.y; self.equipment[self.equipment.indexOf(e)] = neweq;,,,,,,,
Switchblade@even_upgraded,Do [sword]<d6> damage[;]|+1 if dice is odd,1,if (d % 2 == 1) { attack(d + 1); } else {attack(d);},Neutron Star,NORMAL,,RED,,,,_damage,0,NO,NO,,,,,,,,,,,,,
Switchblade@even_downgraded,Do [sword]<d6> damage,1,attack(d);,Neutron Star,REQUIRE4,,RED,,,,_damage,0,NO,NO,,,,,,,,,,,,,
Switchblade@even_weakened,Do [sword]<d6> damage[;]|+1 if dice is odd,1,if (d % 2 == 1) { attack(d + 1); } else {attack(d);},Neutron Star,RANGE34,,RED,,,,_damage,0,NO,NO,,,,,,,,,,,,,
Switchblade@odd,Do [sword]<d6> damage,1,attack(d);,Neutron Star,ODD|FREE1,,RED,change_requirements,change_power,,_damage,0,NO,NO,,1,,,,var neweq = new elements.Equipment(~Switchblade@even~); neweq.x = e.x; neweq.y = e.y; self.equipment[self.equipment.indexOf(e)] = neweq;,,,,,,,
Switchblade@odd_upgraded,Do [sword]<d6> damage[;]|+1 if dice is odd,1,if (d % 2 == 1) { attack(d + 1); } else {attack(d);},Neutron Star,NORMAL,,RED,,,,_damage,0,NO,NO,,,,,,,,,,,,,
Switchblade@odd_downgraded,Do [sword]<d6> damage,1,attack(d);,Neutron Star,REQUIRE3|FREE1,,RED,,,,_damage,0,NO,NO,,,,,,,,,,,,,
Switchblade@odd_weakened,Do [sword]<d6> damage[;]|+1 if dice is odd,1,if (d % 2 == 1) { attack(d + 1); } else {attack(d);},Neutron Star,RANGE34,,RED,,,,_damage,0,NO,NO,,,,,,,,,,,,,
Power Fantasy,Do [sword]999 damage,1,attack(999); sfxdamage(target|999);,Catapult,ODD|ODD,9,PURPLE,change_power,change_function,,none,0,NO,NO,,,,,,,,,,,,,
Power Fantasy_upgraded,Do [sword]999 damage,1,attack(999); sfxdamage(target|999);,Catapult,ODD|ODD,7,PURPLE,,,,none,0,NO,NO,,,,,,,,,,,,,
Power Fantasy_downgraded,Do [sword]1 damage,1,attack(1); sfxdamage(target|1);,Catapult,ODD|ODD,10,PURPLE,,,,none,0,NO,NO,,,,,,,,,,,,,
Heavenly Nectar,Recover [heal]<d6> health|for both you and enemy,1,attackself(-d); attack(-d);,Recover,NORMAL,,GREEN,change_power,change_function,,_heal,0,NO,NO,,1,attackself(-d);,,,,,,,,,,
Heavenly Nectar_upgraded,Recover [heal]<double> health|for both you and enemy,1,attackself(-d * 2); attack(-d * 2);,Recover,NORMAL,,GREEN,,,,_heal,0,NO,NO,,,attackself(-d * 2);,,,,,,,,,,
