Name,Description,Image,ImageOffset,Rule Change,Apply On Continue
The Inventor?,All chest contents are duplicated[;] but|you must make two gadgets per battle.,_inventor,-90|-40,if(!self.varexists(~ncrtheinventorapplied~)) { var oldgadget = Gadget.getcurrentgadget(self); Rules.inventor_setgadgets(1); var newgadget = Gadget.getcurrentgadget(self); Gadget.changegadget(self| newgadget| oldgadget); Gadget.givegadget(self| newgadget| false); trace(~ncr the inventor applied~); } Rules.doublechests = true;,YES
Marshmallow?,On odd turns[;] your initial rolls are odd.|On even turns[;] your initial rolls are even.,marshmallow,10|-10,Rules.addextrascript(~if(turn % 2 == 1) { Rules.playerdicerange([1[;] 3[;] 5]); } else { Rules.playerdicerange([2[;] 4[;] 6]); }~[;] ~beforestartturn~);,YES
Rotten Apple?,Gain [heart]5[] max health[;] but|lose 1 after each fight.,applemimic,0|0,if(self.getvar(~ncrappleapplied~) == 0) { self.maxhp += 5; self.hp += 5; self.setvar(~ncrappleapplied~|1); } Rules.addextrascript(~if(self.maxhp > 1) { self.maxhp -= 1; if(self.hp > self.maxhp) { self.hp = self.maxhp; } }~[;] ~aftercombat~);,YES
Wisp?,Swap all [vanish]Vanish equipment for|[fire]Fire equipment[;] and vice versa.,wisp,20|-60,var database = loaddata(~ncrmod/remixes/wisp~); trace(database); for(eq in database) Rules.swap(eq.fire_equipment[;] eq.vanish_equipment);,YES
The Warrior?,Your skillcard no longer rotates.,_warrior,-90|-20,self.setvar(~ncrthewarriorstopskillcardshuffle~|1);,YES
The Robot?,Jackpot rewards are now static.,_robot,-90|-20,var jacklist = Rules.jackpotskills; var rarejacklist = Rules.jackpotskills_lowodds; var chosenjacks = []; for(i in 0...3) { if(chance(80)) { chosenjacks.push(rand(jacklist)); jacklist.remove(chosenjacks[i]); } else { chosenjacks.push(rand(rarejacklist)); rarejacklist.remove(chosenjacks[i]); } } Rules.jackpotskills = chosenjacks; Rules.jackpotskills_lowodds = [];,YES
The Jester?,Discarding now grants a dice.|Your limit break is now Match 3.,_jester,-90|-20,self.changelimitbreak(~Match 3~); Deck.snapstyle = ~dice~; self.template.limit = self.limitbreak.name; Rules.addextrascript(~Deck.snapstyle = \~dice\~;~[;] ~beforestartturn~);,YES
The Thief?,Switch to [quote]Uptick[quote] rules.,_thief,-90|-20,if(self.getskillcard().name.substr(0|6) != ~Uptick~) { self.replaceskillcard(~Uptick@1~); self.setvar(~uptick~|1); } Rules.addextrascript(~var uptick = self.getvar(\~uptick\~); Rules.stackplayerdice([[uptick]][;] true); self.replaceskillcard(\~Uptick@\~ + uptick);~|~beforestartturn~); Rules.addextrascript(~var uptick = self.getvar(\~uptick\~) + 1; if(uptick >=7) uptick = 1; self.setvar(\~uptick\~[;] uptick);~|~endturn~); Rules.addextrascript(~var uptick = self.getvar(\~uptick\~) + 1; if(uptick >=7) uptick = 1; self.setvar(\~uptick\~[;] uptick);~|~aftercombat); self.changelimitbreak(~Trips~);,YES
Banshee?,At the end of each turn[;] your limit|break is decharged by 2 points.,banshee,-20|0,Rules.addextrascript(~self.limitvalue -= 2; if (self.limitvalue < 0) { self.limitvalue = 0; }~[;] ~endturn~);,YES
Loud Bird?,Your limit break is|permanently weakened.,loudbird,0|-50,self.changelimitbreak(self.alternatelimitbreak.name); self.alternatelimitbreak = new elements.Skill(~Limit Broke~);,YES
