Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Inventor Gadgets,(special),2,,,,,GRAY,,,,none,0,NO,NO,cannotsteal|skillcard,,self.setvar(~underwhelm~|5); self.setvar(~invgadgets_eqsused~|0); self.setvar(~invgadgets_eqsused_display~|0); /*var goldgadgets = loadtext(~gadgetsthatshowgold~); for(skill in self.getskillcard().skills) if(goldgadgets.indexOf(skill.name) != -1) self.getskillcard().addtag(~showgold~);*/ for(skill in self.getskillcard().skills) if(skill.script.indexOf(self.gold) != -1) self.getskillcard().addtag(~showgold~);,/*while(self.getvar(~giveblades~) > 0) { giveequipment(~Everblade~); self.setvar(~giveblades~|self.getvar(~giveblades~) - 1); }*/ self.setvar(~invgadgets_eqsused~|0); self.setvar(~invgadgets_eqsused_display~|0); self.getskillcard().removetag(~showgold~);,var e = self.getskillcard(); /*while(self.getvar(~giveblades~) > 0) { giveequipment(~Everblade~|true|false); self.setvar(~giveblades~|self.getvar(~giveblades~) - 1);  } while(self.getvar(~givebladesplus~) > 0) { giveequipment(~Everblade+~|true|false); self.setvar(~givebladesplus~|self.getvar(~givebladesplus~) - 1);  }*/ self.setvar(~phillip~|false); self.setvar(~grolluses~|3); self.setvar(~smashuses~|3); for(myskill in e.skills) { if(myskill.name == ~Gadget Roll~) { myskill.description = ~Reroll a dice (uses: 3)~; } if(myskill.name == ~Mirror Smash~) { myskill.description = ~-3 [heart][][;] get dice (uses: 3)~; } } /* for(myskill in e.skills) { if(myskill.name == ~Emulator~) { self.setvar(~emulatorchange~|e.skills.indexOf(myskill)); } } */ if(self.equipment.length > 0) { for(eq in self.equipment) { if(eq.script.split(~Gadget.reactivate(self| ALL);~).length > 1) { eq.script = eq.script.split(~Gadget.reactivate(self| ALL);~).join(~Gadget.reactivate(self|ALL); for(myskill in self.getskillcard().skills) { if(myskill.name == \~Gadget Roll\~) { self.setvar(\~grolluses\~|self.getvar(\~grolluses\~) + 1); var a = \~\~ + self.getvar(\~grolluses\~); trace(a); var b = \~\~ + (self.getvar(\~grolluses\~) - 1); trace(b); var m = myskill.description.split(b); trace(m); myskill.description = m.join(a); } if(myskill.name == \~Mirror Smash\~) { self.setvar(\~smashuses\~|self.getvar(\~smashuses\~) + 1); var a = \~\~ + self.getvar(\~smashuses\~); trace(a); var b = \~\~ + (self.getvar(\~smashuses\~) - 1); trace(b); var m = myskill.description.split(b); trace(m); myskill.description = m.join(a); if(myskill.description.split(\~-4 [\~).length > 1) { myskill.description = myskill.description.split(\~-4 [\~).join(\~-3 [\~); } } }~); } } } self.setvar(~invgadgets_eqsused~|0); self.setvar(~invgadgets_eqsused_display~|0);,var docursesfx = false; var doflashnshake = false; for(myskill in e.skills) { if(myskill.description.indexOf(~[sword]7 dmg (passive: get [curse]1[])~) != -1) { docursesfx = true; doflashnshake = true; inflictself(CURSE); } } if(self.limitbreak.description.indexOf(~[sword]7 dmg (passive: get [curse]1[])~) != -1) { docursesfx = true; inflictself(CURSE); } if(docursesfx) sfx(~_curse~); if(doflashnshake) e.animate(~flashandshake~);,if(self.hasstatus(~ncr_lessfluff~)) { removestatusself(~ncr_lessfluff~); } self.setvar(~invgadgets_eqsused~|self.getvar(~invgadgets_eqsused~) + 1); if(self.getvar(~invgadgets_eqsused~) % 2 == 0) { self.setvar(~invgadgets_eqsused_display~|self.getvar(~invgadgets_eqsused_display~) + 1); },,/*if(target.hp <= 0 && self.layout == ~DECK~) { self.setvar(~equipmenttoscrap~|self.equipment); }*/ for(eq in self.equipment) if(eq.hastag(~preservesgadget~)) eq.gadget = Gadget.getcurrentgadget(self);,,,,
Robot Calculate,(special),2,,,,,GRAY,,,,none,0,NO,NO,cannotsteal|skillcard,,,self.setvar(~invgadgets_eqsused~|0); self.setvar(~invgadgets_eqsused_display~|0);,self.setvar(~invgadgets_eqsused~|0); self.setvar(~invgadgets_eqsused_display~|0); self.setvar(~grolluses~|3); self.setvar(~smashuses~|3);,,self.setvar(~invgadgets_eqsused~|self.getvar(~invgadgets_eqsused~) + 1); if(self.getvar(~invgadgets_eqsused~) % 2 == 0) { self.setvar(~invgadgets_eqsused_display~|self.getvar(~invgadgets_eqsused_display~) + 1); },,,,,,
Witch Spellbook,(special),2,,,,,GRAY,,,,none,0,NO,NO,cannotsteal|skillcard,,,,for(i in 1...7) { if(Spellbook.spellname(i) == ~Switchblade@odd~) Spellbook.changespell(i|~Switchblade@even~); else if(Spellbook.spellname(i) == ~Switchblade@even~) Spellbook.changespell(i|~Switchblade@odd~); },,,,,,,,
Buster Sword,Do [sword]<d6> damage[;]|immune to errors,1,attack(d);,Plasma Gun,NORMAL,,GRAY,add2,complicate,,,0,NO,NO,excludefromrandomlists|errorimmune,,,,,,,,,,,,
Ultima Weapon,Do [sword]<d6> damage[;]|double on jackpot,1,if (self.roll_jackpot > 0){ attack(d * 2); } else { attack(d); },Plasma Gun,NORMAL,,YELLOW,add2,complicate,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Starspear,Do [sword]6 damage[;]|add 2x random status,1,attack(6); sfxdamage(target|6); var randstatus = rand([CURSE|LOCK|FIRE|ICE|WEAKEN|SHOCK|POISON|VANISH]); if(randstatus == ~vanish~) { sfx(~_vanish~|~~|0.2); inflict(~ncr_vanish~|2); } else { inflict(randstatus|2); sfx(~_~ + randstatus.toLowerCase()|~~|0.2); },Stardust,REQUIRE6,,PINK,change_power,doublerequirements,,,0,NO,NO,,1,,,,,,,,,,,
Starspear_upgraded,Do [sword]<d6> damage[;]|add 2x random status,1,attack(d); sfxdamage(target|d); var randstatus = rand([CURSE|LOCK|FIRE|ICE|WEAKEN|SHOCK|POISON|VANISH]); if(randstatus == ~vanish~) { sfx(~_vanish~|~~|0.2); inflict(~ncr_vanish~|2); } else { inflict(randstatus|2); sfx(~_~ + randstatus.toLowerCase()|~~|0.2); },Stardust,MIN5,,PINK,,,,,0,NO,NO,,,,,,,,,,,,,
Seize,Lock [lock]1 dice,2,inflict(LOCK| 1); bonus(1000);,Copyright Strike,EVEN,,PURPLE,simplify,complicate,,,0,NO,NO,,,,,,,,,,,,,
Fool's Fire,Inflict [vanish]Vanish_ALL,2,inflict(VANISH);,Mass Deception,COUNTDOWN,12,PINK,halfcountdown,change_function,,,0,NO,NO,,,,,,,,,,,,,
Fool's Frost,Inflict [vanish]Vanish_ALL,2,inflict(VANISH);,Mass Deception,COUNTDOWN,12,PINK,halfcountdown,change_function,,,0,NO,NO,,,,,,,,,,,,,
Fuse,Absorbs an error when|playing You Choose[;] You Lose,1,,Time Stop,,,GRAY,,,,,0,YES,NO,excludefromrandomlists,,,,,,,,,,,,
Mechanical Arm,Do [sword]<dicerolled> damage[;]|add [sword]1 each roll,1,attack(self.roll_totaldice + 1);,Lucky Shot,EVEN,,RED,simplify,complicate,,,0,NO,NO,,,,,if(self != null && !self.usecpuinsteadofdice) self.roll_totaldice = self.dice + self.extradice + self.bonusdice;,,,,,,,,
Forcefield,Add [shield]<dicerolled> shield[;]|add [shield]1 each roll,2,inflictself(SHIELD| (self.roll_totaldice + 1));,Protection,ODD,,ORANGE,simplify,complicate,,,0,YES,NO,,,,,if(self != null && !self.usecpuinsteadofdice) self.roll_totaldice = self.dice + self.extradice + self.bonusdice;,,,,,,,,
Incoming!,Add a Juggling Ball to|your deck for this fight,2,addjestercard(~juggling ball~); self.changebattlevar(~jugglingballs~| 1);,Replicate,COUNTDOWN,5,RED,,,,,0,YES,NO,excludefromrandomlists,,,,,,,,,,,,
Delete,Permanently delete the|first card in your hand,2,var firstcard = Deck.getcard(0); if(firstcard != null) firstcard.delete();,Time Stop,COUNTDOWN,5,GRAY,,,,,-1,YES,NO,excludefromrandomlists|hidereuseable,,,,,,,,,,,,
Forge,Permanently upgrade the|first card in your hand|[gray](once per battle),2,/*$if(self.layout != ~DECK~) { var firstcard = Deck.getcard(0); var firstequipment = null; if(firstcard != null) firstequipment = firstcard.equipment; if(firstequipment != null && !firstequipment.upgraded && !firstequipment.originallyupgraded && firstequipment.isready() && firstequipment.upgradetype != ~~) { var oldx = firstequipment.x; var oldy = firstequipment.y; var oldrcd = firstequipment.remainingcountdown; firstequipment.create(firstequipment.name|true|firstequipment.weakened|true); firstequipment.x = oldx; firstequipment.y = oldy; if(firstequipment.remainingcountdown > oldrcd) { firstequipment.remainingcountdown = oldrcd; } firstequipment.animate(~flashandshake~); sfx(~upgradeequipment~); } else { self.textparticle(~No effect!~); } } else { var completed = false; var eqlist = []; for(eq in self.equipment) { eqlist.push(eq); } if(eqlist.length != 0) {for(eq in eqlist) if(!eq.upgraded && !eq.originallyupgraded && eq.isready() && eq != e && eq != self.getskillcard() && eq.upgradetype != ~~ && new elements.Equipment(eq.name + ~+~).size <= eq.size) { var oldx = eq.x; var oldy = eq.y; var oldrcd = eq.remainingcountdown; eq.create(eq.name|true|eq.weakened|!self.isplayer); /* bool args for e.create: upgraded; weakened; deckupgrade */ eq.x = oldx; eq.y = oldy; if(eq.remainingcountdown > oldrcd) { eq.remainingcountdown = oldrcd; } eq.animate(~flashandshake~); sfx(~upgradeequipment~); completed = true; break; } } if(!completed) { self.textparticle(~No effect!~); } }$*/,,COUNTDOWN,16,YELLOW,halfcountdown,noeffect,,,0,YES,NO,excludefromrandomlists,,,,,,,,,,,,
Spare Cycles,Do [sword]<leftovercpu> damage[;]| [sword]1 for each unused CPU point,1,attack(d);,Overload,COUNTDOWN,12,BRIGHTCYAN,halfcountdown,noeffect,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Spring Equinox,Place two copies of the|next spell you cast,1,inflictself(~doublecast~);,,ODD,,YELLOW,simplify,complicate,,,0,YES,NO,witchonly,1,,,,,,,,,,,
Harvest Scythe,Consume spell in slot <d6>|to do [sword]<quadruple> damage,1,if(Spellbook.isempty(d)) { self.textparticle(~No effect!~); } else { attack(4 * d); Spellbook.erase(d); },,NORMAL,,ORANGE,change_power,complicate,,,0,NO,NO,excludefromrandomlists,1,,,,,,,,,,,
Harvest Scythe_upgraded,Consume spell in slot <d6>|to do [sword]<quintuple> damage,1,if(Spellbook.isempty(d)) { self.textparticle(~No effect!~); } else { attack(5 * d); Spellbook.erase(d); },,NORMAL,,ORANGE,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
