Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Category,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Parallel Universe,Special?,Error Immune,Show Gold,Appears For Parts,Hide Reuseable,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: End Turn,Script: On any equipment use,Script: Before execute,Script: On Snap,Script: On Fury,Script: On any countdown reduce
Trinity Charm,Roll a 3[;] 33% chance|to roll another 3,1,var odds = 33.33; if(getstatusself(~luck~) > 0){ odds = 66.66; } if(getstatusself(~luck+~) > 0){ odds = 100; }   if(chance(odds)) { self.textparticle(~Success!~); givedice([3|3]); } else{ givedice(3); },Trinity,MIN4,,ITEM,YELLOW,change_power,change_power,,,0,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Trinity Charm_upgraded,Roll a 3[;] 33% chance|to roll another 3,1,var odds = 33.33; if(getstatusself(~luck~) > 0){ odds = 66.66; } if(getstatusself(~luck+~) > 0){ odds = 100; }   if(chance(odds)) { self.textparticle(~Success!~); givedice([3|3]); } else{ givedice(3); },Trinity,COUNTDOWN,4,ITEM,YELLOW,,,,,0,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Trinity Charm_downgraded,Roll a 3,1,givedice(3); //tc has gone through a million and one iterations. in its very first incarnation it was a 3-coutndown 33% chance to roll a 3; 3 uses this turn but it kind of captured the very essence of why jackeea doesn't like chance items. same with when its chance was to roll three 3s. at some point the base was needs 3 and the upgrade made it min 3. the incarnation this was in before i wrote this note and redesigned it was the same as before; but min3 and the upgrade made it a countdown of 3. for the longest time i refused to touch tc because i didn't want it to involve any number that wasn't a 3. this incarnation involves a 4 (min; countdown) and a 2 (how many 3s you roll when the chance succeeds). oh well. (also: in its very first few stages; it was green. how bizarre is that?) (also also: if this were morefluff i would've just stuck with the first design and never rethought it. nah jk ilu jackeea),Trinity,MIN4,,ITEM,YELLOW,,,,,0,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Funk Blaster,Double [weaken]weaken|[gray](once per battle),1,inflict(WEAKEN| getstatus(WEAKEN));,Theremin,COUNTDOWN,18,WEAPON,ORANGE,change_power,change_power,,_weaken,0,NO,YES,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Funk Blaster_upgraded,Double [weaken]weaken|[gray](once per battle),1,inflict(WEAKEN| getstatus(WEAKEN));,Theremin,COUNTDOWN,12,WEAPON,ORANGE,,,,_weaken,0,NO,YES,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Funk Blaster_downgraded,Increase [weaken]weaken by 50%|[gray](once per battle),1,inflict(WEAKEN| getstatus(WEAKEN) * 0.5);,Theremin,COUNTDOWN,18,WEAPON,ORANGE,,,,_weaken,0,NO,YES,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Funk Blaster_weakened,Increase [weaken]weaken by 50%|[gray](once per battle),1,inflict(WEAKEN| getstatus(WEAKEN) * 0.5);,Theremin,COUNTDOWN,12,WEAPON,ORANGE,,,,_weaken,0,NO,YES,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
FK 47,[sword]5[;] rob enemy after battle|[gray](unusable after turn 1),1,self.finderskeepers = 1; screenshake(); attack(5);,Steal,NORMAL|NORMAL,9,WEAPON,GREEN,change_power,change_function,,_damage,0,NO,NO,YES,NO,NO,NO,NO,NO,,,,if(turn > 1) {e.availablethisturn = false;},,,,,,,
FK 47_upgraded,[sword]5[;] rob enemy after battle|[gray](unusable after turn 2),1,self.finderskeepers = 1; screenshake(); attack(5);,Steal,NORMAL|NORMAL,9,WEAPON,GREEN,,,,_damage,0,NO,NO,YES,NO,NO,NO,NO,NO,,,,if(turn > 2) {e.availablethisturn = false;},,,,,,,
FK 47_downgraded,Do [sword]5 damage|[gray](unusable after turn 1),1,attack(5);,Steal,NORMAL|NORMAL,9,WEAPON,GREEN,,,,_damage,0,NO,NO,YES,NO,NO,NO,NO,NO,,,,if(turn > 1) {e.availablethisturn = false;},,,,,,,
