Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Fear Shooter,Do [vanish]2 damage|[gray](Reuseable),1,attack(2|VANISH); sfx(~_vanish~);,Delude,COUNTDOWN,5,PINK,change_power,change_power,,none,-1,NO,NO,,,,,,,,,,,,,
Fear Shooter_upgraded,[vanish]3 damage + [vanish]1 vanish|[gray](Reuseable),1,attack(3|VANISH); inflict(~ncr_vanish~); sfx(~_vanish~);,Delude,COUNTDOWN,5,PINK,,,,none,-1,NO,NO,,,,,,,,,,,,,
Fear Shooter_downgraded,Do [vanish]1 damage|[gray](Reuseable),1,attack(1|VANISH); sfx(~_vanish~);,Delude,COUNTDOWN,5,PINK,,,,none,-1,NO,NO,,,,,,,,,,,,,
Spooky Scary Skeletons,EVERYTHING IS [vanish]SPOOKY|(Always offered as scrap),1,,Mass Deception,,,GRAY,change_power,,,none,0,NO,NO,appearsforparts,,,,inflictself(VANISH); inflict(VANISH); sfx(~_vanish~);,,,,,,,,
Spooky Scary Skeletons_upgraded,THE ENEMY IS [vanish]SPOOKED|(Always offered as scrap),1,,Mass Deception,,,GRAY,,,,none,0,NO,NO,appearsforparts,,,,inflict(VANISH); sfx(~_vanish~);,,,,,,,,
Burn to Disc,Set your CPU to 0[;]|but [fire]burn all new dice,1,adjustrobotcounter(-self.roll_total); inflictself(FIRE|ALL); sfx(~_fire~);,Heat Ray,EVEN,,RED,simplify,change_power,,none,0,YES,NO,robotonly,,,,,,,,,,,,
Burn to Disc_downgraded,Reduce CPU by 6[;]|but [fire]burn all new dice,1,adjustrobotcounter(-3); inflictself(FIRE|ALL); sfx(~_fire~);,Heat Ray,EVEN,,RED,,,,none,0,YES,NO,robotonly,,,,,,,,,,,,
Cryostasis,Halve CPU counter[;]|and [ice]freeze all new dice,1,adjustrobotcounter((self.roll_total/2)-self.roll_total); inflictself(ICE|ALL); sfx(~_ice~);,7th Circle,EVEN,,BRIGHTCYAN,change_power,change_power,,none,0,YES,NO,robotonly,,,,,,,,,,,,
Cryostasis_upgraded,Reduce CPU to 1/3[;]|and [ice]freeze all new dice,1,adjustrobotcounter((self.roll_total/3)-self.roll_total); inflictself(ICE|ALL); sfx(~_ice~);,7th Circle,EVEN,,BRIGHTCYAN,,,,none,0,YES,NO,robotonly,,,,,,,,,,,,
Cryostasis_downgraded,Reduce CPU by 3[;]|and [ice]freeze all new dice,1,adjustrobotcounter(-3); inflictself(ICE|ALL); sfx(~_ice~);,7th Circle,EVEN,,BRIGHTCYAN,,,,none,0,YES,NO,robotonly,,,,,,,,,,,,
Vanish Grip,Vanish [vanish]1 dice[;]|return the difference,1,var bigdice = 0; var smalldice = 7; for(ad in actualdice) { if(ad.basevalue > bigdice) bigdice = ad.basevalue; if(ad.basevalue < smalldice) smalldice = ad.basevalue; } if((bigdice - smalldice) >= 1) givedice((bigdice - smalldice)|~combinedice~); inflict(~ncr_vanish~); sfx(~_vanish~|~~|0.2);,Delude,NORMAL|NORMAL,,PINK,change_power,change_power,,none,0,YES,NO,,1,,,,,,,,,,,
Vanish Grip_upgraded,[vanish]1 vanish[;] return difference|,1,var bigdice = 0; var smalldice = 7; for(ad in actualdice) { if(ad.basevalue > bigdice) bigdice = ad.basevalue; if(ad.basevalue < smalldice) smalldice = ad.basevalue; } if((bigdice - smalldice) >= 1) givedice((bigdice - smalldice)|~combinedice~); inflict(~ncr_vanish~); sfx(~_vanish~|~~|0.2);,Delude,NORMAL|NORMAL,,PINK,,,,none,2,YES,NO,,,,,,,,,,,,,
Vanish Grip_downgraded,Return the difference|between the dice,1,var bigdice = 0; var smalldice = 7; for(ad in actualdice) { if(ad.basevalue > bigdice) bigdice = ad.basevalue; if(ad.basevalue < smalldice) smalldice = ad.basevalue; } if((bigdice - smalldice) >= 1) givedice((bigdice - smalldice)|~combinedice~);,Delude,NORMAL|NORMAL,,PINK,,,,none,0,YES,NO,,,,,,,,,,,,,
Pumpkin Seed,[vanish]1 vanish + heal [heal]1|,1,inflict(~ncr_vanish~|1); sfx(~_vanish~|~~|0.2); attackself(-1); sfx(~_heal~);,Regenerate,REQUIRE2,,PINK,change_power,change_power,,none,-1,YES,NO,,1,,,,,,,,,,,
Pumpkin Seed_upgraded,[vanish]1 vanish + heal [heal]1|,1,inflict(~ncr_vanish~|1); sfx(~_vanish~|~~|0.2); attackself(-1); sfx(~_heal~);,Regenerate,MAX2,,PINK,,,,none,-1,YES,NO,,,,,,,,,,,,,
Pumpkin Seed_downgraded,[vanish]1 vanish + heal [heal]1|,1,inflict(~ncr_vanish~|1); sfx(~_vanish~|~~|0.2); attackself(-1); sfx(~_heal~);,Regenerate,REQUIRE2,,PINK,,,,none,0,YES,NO,,,,,,,,,,,,,
Flinch,Dice value -1[;]|vanish [vanish]1 dice,1,givedice(d-1|~splitdice~); inflict(~ncr_vanish~); sfx(~_vanish~|~~|0.2);,Meganudge,MIN2,,PINK,change_power,change_power,,none,0,YES,NO,,1,,,,,,,,,,,
Flinch_upgraded,Dice value -1[;] [vanish]1 vanish|,1,givedice(d-1|~splitdice~); inflict(~ncr_vanish~); sfx(~_vanish~|~~|0.2);,Meganudge,MIN2,,PINK,,,,none,2,YES,NO,,,,,,,,,,,,,
Flinch_downgraded,Dice value -1,1,givedice(d-1|~splitdice~);,Meganudge,MIN2,,PINK,,,,none,0,YES,NO,,,,,,,,,,,,,
Vengeance,Do [vanish]<d6> damage|On [fury]Fury[]: vanish [vanish]2 dice,2,attack(d|VANISH); sfx(~_vanish~);,Mass Deception,NORMAL,,PINK,change_power,change_power,,none,0,NO,NO,,,,,,,,,,,,inflict(~ncr_vanish~|2);,
