Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Chalk,Roll an extra dice,1,givedice();,Magic Dice,COUNTDOWN,4,BRIGHTCYAN,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Chalk_upgraded,Roll an extra dice|[gray](2 uses this turn),1,givedice();,Magic Dice,COUNTDOWN,4,BRIGHTCYAN,,,,,2,YES,NO,,,,,,,,,,,,,
Chalk_downgraded,Roll an extra dice[;]|get [vanish]1 vanish,1,givedice(); inflictself(~ncr_vanish~); sfx(~_vanish~);,Magic Dice,COUNTDOWN,4,BRIGHTCYAN,,,,,0,YES,NO,,,,,,,,,,,,,
Stress Test,Calculate again[;] do [vanish]dmg|equal to number calculated,1,robotroll(); var d = 0; for (mydice in self.dicepool){ if (mydice.available()){ d = mydice.basevalue; } }; attack(d[;]VANISH); sfx(~_vanish~);,,COUNTDOWN,3,PINK,change_power,change_power,,,0,NO,NO,robotonly,,,,,,,,,,,,robotroll(); 
Stress Test_upgraded,Calculate again[;] do [vanish]dmg|equal to number calculated|,1,robotroll(); var d = 0; for (mydice in self.dicepool){ if (mydice.available()){ d = mydice.basevalue; } }; attack(d[;]VANISH); sfx(~_vanish~);,,COUNTDOWN,3,PINK,,,,,2,NO,NO,robotonly,,,,,,,,,,,,robotroll(); 
Stress Test_downgraded,Calculate again[;] deal|[vanish]1 damage,1,robotroll(); attack(1[;]VANISH); sfx(~_vanish~);,,COUNTDOWN,3,PINK,,,,,0,NO,NO,robotonly,,,,,,,,,,,,robotroll(); 
Paralyzing Fear,Deal [shock]2 damage[;] inflict [vanish]1|vanish[;] stun [stun]1 equipment,1,attack(2[;]SHOCK); sfx(~_vanish~); inflict(~mf_stun~); inflict(~ncr_vanish~); sfx(~_shock~);,Flashbang,COUNTDOWN,10,YELLOW,change_power,change_power,stun,,0,NO,NO,,1,,,,,,,,,,,
Paralyzing Fear_upgraded,Deal [shock]4 damage[;] inflict [vanish]2|vanish[;] stun [stun]1 equipment,1,attack(4[;]SHOCK); sfx(~_vanish~); inflict(~mf_stun~); inflict(~ncr_vanish~|2); sfx(~_shock~);,Flashbang,COUNTDOWN,10,YELLOW,,,,,0,NO,NO,,,,,,,,,,,,,
Paralyzing Fear_downgraded,Deal [shock]2 damage[;]|inflict [vanish]1 vanish,1,attack(2|SHOCK); sfxdamage(target[;]2); inflict(~ncr_vanish~); sfx(~_vanish~);,Flashbang,COUNTDOWN,10,YELLOW,,,,none,0,NO,NO,,,,,,,,,,,,,
Paralyzing Fear?,Deal [shock]2 damage[;] inflict [vanish]1|vanish[;] stun [stun]1 dice,1,attack(2[;]SHOCK); sfx(~_vanish~); inflict(~mf_stun~); inflict(~ncr_vanish~); sfx(~_shock~);,Flashbang,COUNTDOWN,10,YELLOW,change_power,change_power,,,0,NO,NO,alternateversion,1,,,,,,,,,,,
Paralyzing Fear?_upgraded,Deal [shock]4 damage[;] inflict [vanish]2|vanish[;] stun [stun]1 dice,1,attack(4[;]SHOCK); sfx(~_vanish~); inflict(~mf_stun~); inflict(~ncr_vanish~|2); sfx(~_shock~);,Flashbang,COUNTDOWN,10,YELLOW,,,,,0,NO,NO,alternateversion,,,,,,,,,,,,
Paralyzing Fear?_downgraded,Deal [shock]2 damage[;]|inflict [vanish]1 vanish,1,attack(2|SHOCK); sfxdamage(target[;]2); inflict(~ncr_vanish~); sfx(~_vanish~);,Flashbang,COUNTDOWN,10,YELLOW,,,,none,0,NO,NO,alternateversion,,,,,,,,,,,,
Fear Siphon,Drain [heart]3 health for each|[vanish]vanish on enemy,1,var drainamt = 0; if(getstatus(VANISH) > 0) { drainamt = target.dice + target.extradice + target.bonusdice; } else { drainamt = getstatus(~ncr_vanish~); } drain(drainamt * 3); sfx(~_vanish~); sfx(~_drain~);,Life Leech,COUNTDOWN,10,PINK,change_power,change_power,,,0,NO,NO,,1,,,,,,,,,,,
Fear Siphon_upgraded,Drain [heart]4 health for each|[vanish]vanish on enemy,1,var drainamt = 0; if(getstatus(VANISH) > 0) { drainamt = target.dice + target.extradice + target.bonusdice; } else { drainamt = getstatus(~ncr_vanish~); } drain(drainamt * 4); sfx(~_vanish~); sfx(~_drain~);,Life Leech,COUNTDOWN,10,PINK,,,,,0,NO,NO,,,,,,,,,,,,,
Fear Siphon_downgraded,Drain [heart]2 health for each|[vanish]vanish on enemy,1,var drainamt = 0; if(getstatus(VANISH) > 0) { drainamt = target.dice + target.extradice + target.bonusdice; } else { drainamt = getstatus(~ncr_vanish~); } drain(drainamt * 2); sfx(~_vanish~); sfx(~_drain~);,Life Leech,COUNTDOWN,10,PINK,,,,,0,NO,NO,,,,,,,,,,,,,
Vanishing Act,Inflict [vanish]Vanish_ALL on both,1,inflict(VANISH); inflictself(VANISH); sfx(~_vanish~);,Hadoken,COUNTDOWN,12,PINK,change_power,change_power,,,0,NO,NO,,1,,,,,,,,,,,inflictself(VANISH); sfx(~_vanish~);
Vanishing Act_upgraded,Inflict [vanish]Vanish_ALL on both[;] do|[vanish]2 dmg per own dice vanished,1,if(getstatusself(~alternate_reduce~) == 0) { var total = 0; var hasvalue = [false| false| false| false| false| false| false]; for (i in 0 ... self.dicepool.length){  if (self.dicepool[i].available()){   if (!hasvalue[self.dicepool[i].basevalue]){    hasvalue[self.dicepool[i].basevalue] = true;   }else{    total += 2;   }  } } } attack(total|VANISH); inflict(VANISH); inflictself(VANISH); sfx(~_vanish~);,Hadoken,COUNTDOWN,12,PINK,,,,,0,NO,NO,,,,,,,,,,,,,inflictself(VANISH); sfx(~_vanish~);
Vanishing Act_downgraded,Inflict [vanish]Vanish_ALL on yourself,1,inflictself(VANISH); sfx(~_vanish~);,Hadoken,COUNTDOWN,12,PINK,,,,,0,NO,NO,,,,,,,,,,,,,inflictself(VANISH); sfx(~_vanish~);
Panic Attack,[vanish]10 dmg + [vanish]2 vanish|[gray](once per battle),1,attack(10[;]VANISH); inflict(~ncr_vanish~[;]2); sfx(~_vanish~); sfxdamage(target|10);,Hadoken,COUNTDOWN,10,PINK,change_power,change_power,,,0,NO,YES,excludefromrandomlists,,,,,,,,,,,,
Panic Attack_upgraded,[vanish]13 dmg + [vanish]4 vanish|[gray](once per battle),1,attack(13[;]VANISH); inflict(~ncr_vanish~[;]4); sfx(~_vanish~); sfxdamage(target|13);,Hadoken,COUNTDOWN,10,PINK,,,,,0,NO,YES,excludefromrandomlists,,,,,,,,,,,,
Panic Attack_downgraded,[vanish]5 dmg + [vanish]1 vanish|[gray](once per battle),1,attack(5[;]VANISH); inflict(~ncr_vanish~); sfx(~_vanish~); sfxdamage(target|5);,Hadoken,COUNTDOWN,10,PINK,,,,,0,NO,YES,excludefromrandomlists,,,,,,,,,,,,
Urn of Ashes,1-3: inflict [vanish]<d6> vanish|4-6: do [vanish]<d6> damage,2,var x = actualdice[0].basevalue; if(x < 4){ inflict(~ncr_vanish~[;]d); }else{ attack(d[;]VANISH); sfxdamage(target|d); }; sfx(~_vanish~);,Hadoken,NORMAL,,PINK,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Urn of Ashes_upgraded,1-3: inflict [vanish]3 vanish|4-6: do [vanish]6 damage,2,var x = actualdice[0].basevalue; if(x < 4){ inflict(~ncr_vanish~[;]3); }else{ attack(6[;]VANISH); sfxdamage(target|6); }; sfx(~_vanish~);,Hadoken,NORMAL,,PINK,,,,,0,NO,NO,,,,,,,,,,,,,
Urn of Ashes_downgraded,Deal [vanish]<d6> damage,2,attack(d[;]VANISH); sfx(~_vanish~);,Hadoken,MAX3,,PINK,,,,,0,NO,NO,,,,,,,,,,,,,
Spiritual Medicine,Inflict [vanish]2 vanish[;]|inflict [poison]2 poison,1,inflict(~ncr_vanish~[;]2); sfx(~_vanish~); inflict(POISON[;]2); sfx(~_poison~);,Goop Gun,COUNTDOWN,10,PINK,change_power,change_power,,,0,NO,NO,,1,,,,,,,,,,,
Spiritual Medicine_upgraded,Inflict [vanish]3 vanish[;]|inflict [poison]3 poison,1,inflict(~ncr_vanish~[;]3); sfx(~_vanish~); inflict(POISON[;]3); sfx(~_poison~);,Goop Gun,COUNTDOWN,10,PINK,,,,,0,NO,NO,,,,,,,,,,,,,
Spiritual Medicine_downgraded,Inflict [vanish]1 vanish[;]|inflict [poison]1 poison,1,inflict(~ncr_vanish~[;]1); sfx(~_vanish~); inflict(POISON[;]1); sfx(~_poison~);,Goop Gun,COUNTDOWN,10,PINK,,,,,0,NO,NO,,,,,,,,,,,,,
Special Homerun,Deal [sword]<d6> damage|Inflict [vanish]1 vanish per|damage over 5 this does,2,var h = target.hp; attack(d); h-=target.hp; sfxdamage(target[;]d); if(h > 5){ inflict(~ncr_vanish~[;]h - 5); sfx(~_vanish~); };,Delude,MAX5,,RED,change_power,change_power,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Special Homerun_upgraded,Deal [sword]<d6> damage|Inflict [vanish]1 vanish per|damage over 4 this does,2,var h = target.hp; attack(d); h-=target.hp; sfxdamage(target[;]d); if(h > 4){ inflict(~ncr_vanish~[;]h - 4); sfx(~_vanish~); };,Delude,MAX5,,RED,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Special Homerun_downgraded,Deal [sword]<d6> damage,2,attack(d); sfxdamage(target[;]d);,Delude,MAX5,,RED,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Swing,Deal [sword]2 dmg[;] return dice[;]|but destroy a random dice|[gray](Reusable),2,attack(2[;]VANISH); sfx(~_vanish~); givedice(d); rand([for(dice in self.dicepool) if(dice.available()) dice]).animate(~disappear~);,Delude,NORMAL,,PURPLE,change_power,change_power,,,-1,NO,NO,excludefromrandomlists,,,,,,,,,,,,sfx(~_vanish~); givedice(d); rand([for(dice in self.dicepool) if(dice.available()) dice]).animate(~disappear~);
Swing_upgraded,Deal [sword]3 dmg[;] return dice[;]|but destroy a random dice|[gray](Reusable),2,attack(3[;]VANISH); sfx(~_vanish~); givedice(d); rand([for(dice in self.dicepool) if(dice.available()) dice]).animate(~disappear~);,Delude,NORMAL,,PURPLE,,,,,-1,NO,NO,excludefromrandomlists,,,,,,,,,,,,sfx(~_vanish~); givedice(d); rand([for(dice in self.dicepool) if(dice.available()) dice]).animate(~disappear~);
Swing_downgraded,Deal [sword]2 dmg[;] return dice[;]|but destroy a random dice,2,attack(2[;]VANISH); sfx(~_vanish~); givedice(d); rand([for(dice in self.dicepool) if(dice.available()) dice]).animate(~disappear~);,Delude,NORMAL,,PURPLE,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,sfx(~_vanish~); givedice(d); rand([for(dice in self.dicepool) if(dice.available()) dice]).animate(~disappear~);
Spooksword of Spooks,Deal [vanish]<double> damage|While equipped[;] [vanish]ALL of|your duplicate dice vanish,2,attack(d*2[;]VANISH); sfx(~_vanish~);,Delude,NORMAL,,PINK,change_power,change_power,vanish,,0,NO,NO,,,,,inflictself(VANISH); sfx(~_vanish~);,,,,,,,,
Spooksword of Spooks_upgraded,Deal [vanish]<double> damage|While equipped[;] [vanish]ALL of|your duplicate dice vanish,2,attack(d*2[;]VANISH); sfx(~_vanish~);,Delude,NORMAL|FREE1,,PINK,,,,,0,NO,NO,,,,,inflictself(VANISH); sfx(~_vanish~);,,,,,,,,
Spooksword of Spooks_downgraded,Deal [vanish]<double> damage|While equipped[;] [vanish]ALL of|your duplicate dice vanish,2,attack(2*d[;]VANISH); sfx(~_vanish~);,Delude,MAX3,,PINK,,,,,0,NO,NO,,,,,inflictself(VANISH); sfx(~_vanish~);,,,,,,,,
Spooksword of Spooks?,Deal [vanish]<double> damage|While equipped[;] each item|use may vanish a dice,2,attack(d*2[;]VANISH); sfx(~_vanish~);,Delude,NORMAL,,PINK,change_power,change_power,,,0,NO,NO,,,,,inflictself(VANISH); sfx(~_vanish~);,,,,,,,,
Spooksword of Spooks?_upgraded,Deal [vanish]<double> damage|While equipped[;] each item|use may vanish a dice,2,attack(d*2[;]VANISH); sfx(~_vanish~);,Delude,NORMAL|FREE1,,PINK,,,,,0,NO,NO,,,,,inflictself(VANISH); sfx(~_vanish~);,,,,,,,,
Spooksword of Spooks?_downgraded,Deal [vanish]<double> damage|While equipped[;] each item|use may vanish a dice,2,attack(2*d[;]VANISH); sfx(~_vanish~);,Delude,MAX3,,PINK,,,,,0,NO,NO,,,,,inflictself(VANISH); sfx(~_vanish~);,,,,,,,,
Pandora's Tray,Roll 2 dice[;] get [vanish]2 vanish|[gray](Reusable),1,var amount = 2; var dicearray = []; for(x in 0...amount){ dicearray.push(rand([1[;]2[;]3[;]4[;]5[;]6])); }; givedice(dicearray); inflictself(~ncr_vanish~|amount);,Snake Eyes,COUNTDOWN,8,PURPLE,change_power,change_power,,,-1,YES,NO,,1,,,,,,,,,,,
Pandora's Tray_upgraded,Roll 3 dice[;] get [vanish]3 vanish|[gray](Reusable),1,var amount = 3; var dicearray = []; for(x in 0...amount){ dicearray.push(rand([1[;]2[;]3[;]4[;]5[;]6])); }; givedice(dicearray); inflictself(~ncr_vanish~|amount);,Snake Eyes,COUNTDOWN,8,PURPLE,,,,,-1,YES,NO,,,,,,,,,,,,,
Pandora's Tray_downgraded,Roll 1 dice[;] get [vanish]1 vanish|[gray](Reusable),1,var amount = 1; var dicearray = []; for(x in 0...amount){ dicearray.push(rand([1[;]2[;]3[;]4[;]5[;]6])); }; givedice(dicearray); inflictself(~ncr_vanish~|amount);,Snake Eyes,COUNTDOWN,8,PURPLE,,,,,-1,YES,NO,,,,,,,,,,,,,
Spectral Storm,[vanish]2 dmg to you and enemy|[gray](Reusable),1,attack(2[;]VANISH); sfx(~_vanish~); boomerang(2[;]VANISH);,Boom!,COUNTDOWN,2,PINK,change_power,change_power,,,-1,NO,NO,,1,,,,,,,,,,,
Spectral Storm_upgraded,[vanish]4 dmg to you and enemy|[gray](Reusable),1,attack(4[;]VANISH); sfx(~_vanish~); boomerang(4[;]VANISH);,Boom!,COUNTDOWN,2,PINK,,,,,-1,NO,NO,,,,,,,,,,,,,
Spectral Storm_downgraded,[vanish]2 dmg to yourself|[gray](Reusable),1,attackself(2[;]VANISH); sfx(~_vanish~);,Boom!,COUNTDOWN,2,PINK,,,,,-1,YES,NO,,,,,,,,,,,,,
Paralily,Inflict [vanish]1 vanish|(Cost [mana]2: +[vanish]1 extra),1,inflict(~ncr_vanish~); sfx(~_vanish~); if(getstatusself(MANA) >= 2){ removestatusself(MANA[;]2); inflict(~ncr_vanish~); };,Delude,NORMAL|NORMAL,5,PINK,change_power,change_power,,,0,NO,NO,,1,,,,,,,,,,,
